timestamp,roll_deg,pitch_deg,yaw_deg,rollspeed_dps,pitchspeed_dps,yawspeed_dps,ch1_roll,ch2_pitch,ch3_throttle,ch4_yaw,ch5,ch6,ch7,ch8,armed
2026-04-25T19:34:02.158,1.415,0.167,328.01,0.019,-0.035,0.011,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:02.159,1.415,0.167,328.01,0.019,-0.035,0.011,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:02.258,1.414,0.167,328.01,0.048,-0.026,0.021,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:02.259,1.414,0.167,328.01,0.048,-0.026,0.021,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:02.357,1.414,0.167,328.01,0.023,0.018,-0.006,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:02.358,1.414,0.167,328.01,0.023,0.018,-0.006,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:02.458,1.413,0.168,328.01,0.026,-0.023,0.009,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:02.459,1.413,0.168,328.01,0.026,-0.023,0.009,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:02.557,1.412,0.169,328.011,0.001,0.014,0.005,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:02.558,1.412,0.169,328.011,0.001,0.014,0.005,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:02.657,1.413,0.168,328.011,0.024,-0.016,-0.074,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:02.658,1.413,0.168,328.011,0.024,-0.016,-0.074,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:02.757,1.413,0.169,328.012,0.01,-0.019,0.001,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:02.758,1.413,0.169,328.012,0.01,-0.019,0.001,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:02.857,1.413,0.171,328.011,0.006,0.017,0.07,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:02.859,1.413,0.171,328.011,0.006,0.017,0.07,0,0,0,0,0,0,0,0,1
